name,latitude,longitude,keyword_1,count_1,keyword_2,count_2,keyword_3,count_3
岳阳,29.3573,113.1292,艺术,22.0,油画,15.0,设计,2.0
鞍山,41.1078,122.9946,艺术,23.0,当代,9.0,绘画,4.0
邯郸,36.6256,114.5392,visual art,0.0,fine art,0.0,illustrat,0.0
包头,40.6578,109.8402,艺术,9.0,雕塑,4.0,绘画,3.0
淄博,36.8131,118.0548,艺术,63.0,现代,9.0,版画,7.0
唐山,39.6304,118.1802,艺术,7.0,工艺,1.0,陶瓷,1.0
合肥,31.8206,117.229,艺术,10.0,当代,2.0,设计,2.0
十堰,S32.6292,110.798,艺术,28.0,当代,4.0,油画,3.0
巴彦淖尔,40.7432,107.3877,艺术,26.0,民族,3.0,现代,1.0
宁波,29.8683,121.544,艺术,7.0,当代,7.0,现代,1.0
天水,34.5808,105.7249,艺术,8.0,民族,1.0,陶瓷,1.0
濮阳,35.7619,115.0293,艺术,21.0,绘画,3.0,当代,2.0
无锡,31.491,120.3124,visual art,0.0,fine art,0.0,illustrat,0.0
厦门,24.4795,118.0895,艺术,5.0,当代,1.0,摄影,1.0
天津,39.0851,117.1994,艺术,119.0,当代,16.0,绘画,9.0
深圳市,22.5429,114.0596,艺术,22.0,当代,14.0,contemporary,1.0
大同,40.0764,113.3,艺术,99.0,当代,52.0,建筑,12.0
丽江,26.8565,100.2271,油画,1.0,visual art,0.0,fine art,0.0
常熟,31.6538,120.7522,艺术,28.0,当代,2.0,现代,2.0
福州,26.0742,119.2965,摄影,23.0,艺术,7.0,建筑,2.0
贵阳,26.6476,106.6302,艺术,6.0,当代,2.0,visual art,0.0
수원,37.2668,127.0015,visual art,0.0,fine art,0.0,illustrat,0.0
Busan,35.21,129.0689,contemporary,4.0,photograph,4.0,draw,1.0
Seoul,37.5519,126.9918,paint,13.0,contemporary,5.0,wood,5.0
청주시,36.6283,127.4913,visual art,0.0,fine art,0.0,illustrat,0.0
전주,35.8397,127.1293,visual art,0.0,fine art,0.0,illustrat,0.0
